id,category,term,english,description,related_tracks,source
term-044-iamd,공중·우주 / 공군 (Air & Space),IAMD,Integrated Air and Missile Defense,통합방공. 항공기·미사일·드론 위협을 통합적으로 탐지·대응.,"[""T3""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 46, ""version"": ""20260703_174407""}"
term-045-osint,정보·사이버 (OSINT),OSINT,Open-Source Intelligence,공개출처정보. 합법적으로 공개된 정보를 수집·분석하는 정보활동.,"[""T2"", ""T3"", ""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 47, ""version"": ""20260703_174407""}"
term-046-자격증명,정보·사이버 (OSINT),자격증명,Credential,계정 접근에 쓰이는 ID·비밀번호·토큰 등.,"[""T2""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 48, ""version"": ""20260703_174407""}"
term-047-인포스틸러,정보·사이버 (OSINT),인포스틸러,Infostealer / Stealer,감염 기기에서 자격증명·쿠키 등을 탈취하는 정보유출형 악성코드.,"[""T2""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 49, ""version"": ""20260703_174407""}"
term-048-apt,정보·사이버 (OSINT),APT,Advanced Persistent Threat,지능형 지속위협. 장기간 은밀히 침투하는 고도화 공격(주로 국가 배후).,"[""T2""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 50, ""version"": ""20260703_174407""}"
term-049-동일인-해소,정보·사이버 (OSINT),동일인 해소,Entity Resolution,흩어진 식별자(별칭·이메일·지갑 등)를 같은 실체로 묶는 작업.,"[""T2""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 51, ""version"": ""20260703_174407""}"
term-050-지식그래프,정보·사이버 (OSINT),지식그래프,Knowledge Graph,객체와 관계를 네트워크로 연결해 맥락 이해·추론을 가능케 하는 데이터 모델.,"[""T2"", ""T5""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 52, ""version"": ""20260703_174407""}"
term-051-감성-분석,정보·사이버 (OSINT),감성 분석,Sentiment Analysis,텍스트에 담긴 감정·태도·여론을 분석하는 기법.,"[""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 53, ""version"": ""20260703_174407""}"
term-052-이상-탐지,정보·사이버 (OSINT),이상 탐지,Anomaly Detection,정상 패턴에서 벗어난 비정상 신호·행동을 가려내는 기법.,"[""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 54, ""version"": ""20260703_174407""}"
term-053-mcp,정보·사이버 (OSINT),MCP,Model Context Protocol,LLM이 외부 도구·데이터 소스를 표준 방식으로 호출하게 하는 프로토콜.,"[""T2""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 55, ""version"": ""20260703_174407""}"
term-054-rag,정보·사이버 (OSINT),RAG,Retrieval-Augmented Generation,검색증강생성. 외부 지식을 먼저 검색해 참조하며 답을 생성(환각 저감).,"[""T2"", ""T5""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 56, ""version"": ""20260703_174407""}"
term-055-출처-명시,정보·사이버 (OSINT),출처 명시,Citation,답변의 근거 출처를 함께 제시하는 것.,"[""T2""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 57, ""version"": ""20260703_174407""}"
term-056-중간자-공격,정보·사이버 (OSINT),중간자 공격,"MITM, Man-in-the-Middle",통신 중간에 끼어들어 가로채거나 변조하는 공격.,"[""T1"", ""T2""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 58, ""version"": ""20260703_174407""}"
term-057-재전송-공격,정보·사이버 (OSINT),재전송 공격,Replay Attack,정상 통신을 가로챘다가 그대로 재전송해 인증을 우회하는 공격.,"[""T1""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 59, ""version"": ""20260703_174407""}"
term-058-c2,지휘통제·군수 (C2),C2,Command & Control,지휘통제. 부대·자산을 지휘하고 통제하는 체계·활동.,"[""T3""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 60, ""version"": ""20260703_174407""}"
term-059-cop,지휘통제·군수 (C2),COP,Common Operating Picture,공통(작전)상황도. 부대가 공유하는 단일 전장 상황 지도.,"[""T3"", ""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 61, ""version"": ""20260703_174407""}"
term-060-센서-퓨전,지휘통제·군수 (C2),센서 퓨전,Sensor Fusion,여러 센서의 데이터를 융합해 단일한 상황 인식을 만드는 기술.,"[""T3"", ""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 62, ""version"": ""20260703_174407""}"
term-061-표적-추적-유지,지휘통제·군수 (C2),표적 추적 유지,Custody (Track Custody),표적을 끊김 없이 계속 추적·유지하는 상태.,"[""T3"", ""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 63, ""version"": ""20260703_174407""}"
term-062-다영역,지휘통제·군수 (C2),다영역,Multi-domain,지상·해상·공중·우주·사이버 등 다영역을 통합한 작전.,"[""T3""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 64, ""version"": ""20260703_174407""}"
term-063-이종-데이터,지휘통제·군수 (C2),이종 데이터,Heterogeneous Data,형식·출처가 서로 다른 데이터(예: 레이더 신호 + 영상 + 텍스트).,"[""T3"", ""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 65, ""version"": ""20260703_174407""}"
term-064-시공간-상관,지휘통제·군수 (C2),시공간 상관,Spatio-temporal Correlation,데이터를 시간과 위치 기준으로 연결·정합하는 것.,"[""T3"", ""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 66, ""version"": ""20260703_174407""}"
term-065-출처-추적,지휘통제·군수 (C2),출처 추적,Provenance,데이터의 출처·생성·변경 이력을 끝까지 추적·검증하는 것.,"[""T3""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 67, ""version"": ""20260703_174407""}"
term-066-s-dot,지휘통제·군수 (C2),S-DOT,Semantic Data On Tactical-network,전술망에서 영상 원본 대신 '의미 기반 텍스트'로 핵심 정보만 전송하는 체계.,"[""T3""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 68, ""version"": ""20260703_174407""}"
term-067-시맨틱-통신,지휘통제·군수 (C2),시맨틱 통신,Semantic Communication,데이터 원본 대신 그 '의미'를 추출해 전송하는 차세대 통신.,"[""T3""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 69, ""version"": ""20260703_174407""}"
term-068-엣지-ai,지휘통제·군수 (C2),엣지 AI,Edge AI,클라우드가 아닌 단말(드론·센서·부표)에서 직접 추론하는 AI.,"[""T3"", ""T4"", ""T5""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 70, ""version"": ""20260703_174407""}"
term-069-npu,지휘통제·군수 (C2),NPU,Neural Processing Unit,저전력 단말에서 AI 연산을 가속하는 전용 반도체.,"[""T3""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 71, ""version"": ""20260703_174407""}"
term-070-rdf-triple,지휘통제·군수 (C2),RDF Triple,Resource Description Framework Triple,<주어-술어-목적어> 3요소로 정보를 구조화하는 W3C 표준 데이터 모델.,"[""T3""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 72, ""version"": ""20260703_174407""}"
term-071-온톨로지,지휘통제·군수 (C2),온톨로지,Ontology,데이터의 의미·관계를 정의해 기계 판독·추론을 가능케 하는 체계.,"[""T3"", ""T5""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 73, ""version"": ""20260703_174407""}"
term-072-예측정비,지휘통제·군수 (C2),예측정비,Predictive Maintenance,장비 상태를 분석해 고장 전에 정비 소요를 예측하는 것.,"[""T3""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 74, ""version"": ""20260703_174407""}"
term-073-지속지원,지휘통제·군수 (C2),지속지원,Sustainment,보급·정비 등 전투지속능력을 떠받치는 군수 활동.,"[""T3""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 75, ""version"": ""20260703_174407""}"
term-074-mda,"해상 
(Maritime)",MDA,Maritime Domain Awareness,해상영역인식. 해양에서의 모든 활동을 탐지·이해하는 능력.,"[""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 76, ""version"": ""20260703_174407""}"
term-075-ais,"해상 
(Maritime)",AIS,Automatic Identification System,선박자동식별장치. 선박 위치·정보를 자동으로 송수신.,"[""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 77, ""version"": ""20260703_174407""}"
term-076-유령선,"해상 
(Maritime)",유령선,AIS-Off / Dark Vessel,AIS를 고의로 끈 채 운항해 추적을 회피하는 선박.,"[""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 78, ""version"": ""20260703_174407""}"
term-077-elint,"해상 
(Maritime)",ELINT,Electronic Intelligence,전자정보. 비통신 전자방출(레이더 등)을 수집·분석.,"[""T3"", ""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 79, ""version"": ""20260703_174407""}"
term-078-sar,"해상 
(Maritime)",SAR,Synthetic Aperture Radar,합성개구레이더. 기상·주야와 무관하게 영상을 얻는 위성/항공 레이더.,"[""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 80, ""version"": ""20260703_174407""}"
term-079-패시브-소나,"해상 
(Maritime)",패시브 소나,Passive Sonar,스스로 음파를 쏘지 않고 표적이 내는 소리만 듣는 수동 음향 탐지.,"[""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 81, ""version"": ""20260703_174407""}"
term-080-선박-간-접선,"해상 
(Maritime)",선박 간 접선,Ship-to-Ship,해상에서 선박끼리 물자·인원을 옮기는 환적 행위(불법 활동에서 자주 포착).,"[""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 82, ""version"": ""20260703_174407""}"
term-081-클러터,"해상 
(Maritime)",클러터,Clutter,파도·해양 생물음·반사광 등 탐지를 방해하는 배경 잡신호.,"[""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 83, ""version"": ""20260703_174407""}"
term-082-요동-보정,"해상 
(Maritime)",요동 보정,Stabilization,파도·진동에 의한 센서 흔들림을 보정해 안정된 영상·신호를 얻는 것.,"[""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 84, ""version"": ""20260703_174407""}"
term-083-nll,"해상 
(Maritime)",NLL,Northern Limit Line,북방한계선. 서해 남북 해상 경계선.,"[""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 85, ""version"": ""20260703_174407""}"
term-084-워게임,교육·훈련,워게임,War-game,가상 시나리오로 전략·전술 결심을 훈련·검증하는 모의.,"[""T5""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 86, ""version"": ""20260703_174407""}"
term-085-사후-검토,교육·훈련,사후 검토,"AAR, After Action Review",훈련·작전 종료 후 잘잘못을 복기해 교훈을 도출하는 검토.,"[""T3"", ""T5""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 87, ""version"": ""20260703_174407""}"
term-086-온디바이스-ai,교육·훈련,온디바이스 AI,On-device AI,외부 연결 없이 단말 내부에서 완결적으로 구동되는 AI.,"[""T5""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 88, ""version"": ""20260703_174407""}"
term-087-rbac,교육·훈련,RBAC,Role-Based Access Control,역할 기반 접근통제. 권한에 따라 접근·생성 자원을 제한.,"[""T5""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 89, ""version"": ""20260703_174407""}"
